true,pred
9.41903,9.613799
12.789837,12.8797245
10.924788,10.465876
10.346508,9.687333
9.846313,9.281404
13.183467,13.157152
13.935712,13.834076
12.461289,12.675341
10.531393,10.197864
8.4846735,8.479678
11.566971,11.383762
13.6270685,13.661121
9.667633,10.031189
11.115031,11.183407
9.289439,9.727387
12.868974,12.817009
10.18914,10.118155
10.259831,9.781403
6.1203694,6.7086635
13.831749,13.7124605
9.985656,9.6979475
11.905114,11.942737
13.279511,13.287649
12.821371,12.747217
12.57635,12.6273155
12.014948,11.931521
12.337764,12.309178
12.177255,12.03553
8.451203,9.09386
9.585795,10.230884
8.497212,8.722711
13.688475,13.703508
6.2635913,6.654312
9.216654,9.5416355
13.479476,13.644676
12.404911,12.328454
12.097724,11.971706
12.287086,12.31284
11.34846,11.132877
13.210097,13.132796
11.9359045,11.918253
12.072363,11.98726
11.893684,11.910048
8.908219,9.208552
8.660545,8.197139
12.722913,12.778262
13.039169,12.996186
10.311636,9.964329
9.545072,8.860385
12.235534,12.219495
8.934161,9.297849
10.001915,9.669423
9.915912,10.34156
10.978629,10.710946
11.24591,10.824716
11.766441,11.95983
13.916815,13.806115
9.504987,10.02859
9.602844,9.381034
12.617497,12.595037
12.251836,12.25798
13.377521,13.092104
11.582817,11.473855
12.370968,12.401276
12.950568,12.826374
9.376343,8.856944
9.439562,9.845798
12.6287565,12.514121
11.036366,10.762406
10.659723,10.356557
12.124918,12.357387
7.429616,7.960536
9.798811,10.108711
13.217724,13.539922
8.488539,8.93692
10.750729,10.373382
9.388249,9.198901
13.48131,13.48015
10.0865345,9.793312
12.945957,12.89465
8.85678,9.027408
13.644689,13.614364
12.580939,12.705488
13.512597,13.738891
11.549827,11.430581
9.63603,10.060584
13.241945,13.190067
13.755349,13.728153
13.351644,13.325348
11.279803,10.80252
11.861124,11.641231
13.50188,13.544989
9.379855,9.016177
9.028013,9.167515
9.042106,9.506275
10.600777,10.77296
13.551668,13.493881
11.0206,11.012746
13.658279,13.652064
11.344853,11.330007
11.66592,11.543989
12.522609,12.44968
10.604249,10.140399
10.650354,10.720776
9.652647,9.1622095
12.266489,12.291839
13.212325,12.981564
10.389115,9.728973
10.796676,10.408841
12.903116,12.890286
13.198765,13.182952
12.495385,12.555157
10.670061,10.599264
11.913681,11.989471
8.866322,9.213248
14.204447,14.179656
9.925003,9.840871
12.309416,12.089899
9.429172,8.709766
11.379604,11.119079
8.403064,9.052344
13.586331,13.543786
12.623395,12.849118
10.633577,10.524989
11.433577,11.192585
10.632122,10.478011
11.630498,11.389062
9.67863,10.164531
14.022523,14.131672
11.6016865,11.709826
10.294486,9.766759
9.867697,9.358747
11.611947,11.486404
12.406135,12.408851
13.6432705,13.634419
9.04314,8.411631
9.423531,9.9019785
10.996438,10.8325405
10.222952,9.639489
12.900119,12.929994
11.572569,11.241481
11.087501,10.728077
11.402791,11.217022
10.389006,10.031195
13.74508,13.831362
9.496917,10.0211
10.287183,10.284573
13.720263,13.746655
9.703262,9.176907
11.8462305,11.789953
11.35637,11.190158
12.942363,13.066956
9.668135,9.950147
12.314518,12.260121
12.266871,12.175066
12.101153,12.175298
9.481542,9.923144
9.94772,10.439373
11.599895,11.474727
13.815434,13.858999
10.638769,10.072217
11.862412,11.899804
12.406549,12.420978
10.378201,10.352555
8.908091,8.649472
11.497214,11.229949
14.032425,14.2459135
13.300146,13.279901
13.581694,13.584546
12.947472,12.868463
11.692196,11.545426
11.221698,10.877548
12.281826,12.417126
13.248294,13.211624
12.612515,12.579798
10.529348,10.74903
8.8315,9.005087
7.9881334,8.42964
10.805307,10.429995
13.691474,13.437843
13.7870245,13.610322
13.578869,13.491867
8.6304,9.018574
11.821981,11.692964
7.2238264,6.924347
9.999747,9.805334
13.4934635,13.425153
12.718665,12.791972
9.301964,8.879404
8.593402,8.906176
12.234958,11.910482
10.698245,10.408661
10.003365,9.63432
9.285969,9.710029
9.080545,8.753492
13.3701105,13.271422
13.952526,13.877388
10.82274,10.584426
11.920668,11.863069
10.932759,11.029416
10.064774,10.059575
8.838676,8.224491
11.527496,11.320945
13.628114,14.201176
13.511688,13.691382
12.680457,12.686205
11.346778,10.960301
8.587514,8.590669
11.9234705,11.825153
13.551719,13.688276
10.047111,10.071179
10.403956,9.856999
12.538256,12.566052
9.270253,9.413081
12.948313,12.950202
13.754361,13.693095
