Epoch | Train Loss | Train R² | Val Loss | Val R²
Epoch 054 | Train Loss: 7.2841e-01 | R²: 0.7196 | Val Loss: 8.1646e-01 | R²: 0.6968
Epoch 055 | Train Loss: 7.0796e-01 | R²: 0.7275 | Val Loss: 8.1248e-01 | R²: 0.6983
Epoch 056 | Train Loss: 6.8883e-01 | R²: 0.7348 | Val Loss: 7.9585e-01 | R²: 0.7045
Epoch 057 | Train Loss: 7.0081e-01 | R²: 0.7302 | Val Loss: 7.6648e-01 | R²: 0.7154
Epoch 058 | Train Loss: 6.8865e-01 | R²: 0.7349 | Val Loss: 7.4443e-01 | R²: 0.7236
Epoch 059 | Train Loss: 6.5259e-01 | R²: 0.7488 | Val Loss: 7.2191e-01 | R²: 0.7319
Epoch 060 | Train Loss: 6.1698e-01 | R²: 0.7625 | Val Loss: 6.7993e-01 | R²: 0.7475
Epoch 061 | Train Loss: 6.2735e-01 | R²: 0.7585 | Val Loss: 6.5715e-01 | R²: 0.7560
Epoch 062 | Train Loss: 5.8124e-01 | R²: 0.7762 | Val Loss: 6.8510e-01 | R²: 0.7456
Epoch 063 | Train Loss: 5.9891e-01 | R²: 0.7694 | Val Loss: 7.2405e-01 | R²: 0.7311
Epoch 064 | Train Loss: 5.6248e-01 | R²: 0.7835 | Val Loss: 6.4613e-01 | R²: 0.7601
Epoch 065 | Train Loss: 5.6698e-01 | R²: 0.7817 | Val Loss: 7.0716e-01 | R²: 0.7374
Epoch 066 | Train Loss: 5.5993e-01 | R²: 0.7844 | Val Loss: 6.3127e-01 | R²: 0.7656
Epoch 067 | Train Loss: 5.2945e-01 | R²: 0.7962 | Val Loss: 5.9310e-01 | R²: 0.7798
Epoch 068 | Train Loss: 5.2635e-01 | R²: 0.7974 | Val Loss: 6.2566e-01 | R²: 0.7677
Epoch 069 | Train Loss: 5.1169e-01 | R²: 0.8030 | Val Loss: 5.8600e-01 | R²: 0.7824
Epoch 070 | Train Loss: 4.9307e-01 | R²: 0.8102 | Val Loss: 5.5074e-01 | R²: 0.7955
Epoch 071 | Train Loss: 4.8846e-01 | R²: 0.8120 | Val Loss: 5.3920e-01 | R²: 0.7998
Epoch 072 | Train Loss: 4.9243e-01 | R²: 0.8104 | Val Loss: 5.8046e-01 | R²: 0.7845
Epoch 073 | Train Loss: 4.9442e-01 | R²: 0.8097 | Val Loss: 5.7891e-01 | R²: 0.7850
Epoch 074 | Train Loss: 4.9710e-01 | R²: 0.8086 | Val Loss: 5.4101e-01 | R²: 0.7991
Epoch 075 | Train Loss: 4.7487e-01 | R²: 0.8172 | Val Loss: 5.6712e-01 | R²: 0.7894
Epoch 076 | Train Loss: 4.7900e-01 | R²: 0.8156 | Val Loss: 5.1893e-01 | R²: 0.8073
Epoch 077 | Train Loss: 4.8293e-01 | R²: 0.8141 | Val Loss: 5.4160e-01 | R²: 0.7989
Epoch 078 | Train Loss: 4.6049e-01 | R²: 0.8227 | Val Loss: 5.2944e-01 | R²: 0.8034
Epoch 079 | Train Loss: 4.5540e-01 | R²: 0.8247 | Val Loss: 4.9885e-01 | R²: 0.8148
Epoch 080 | Train Loss: 4.5386e-01 | R²: 0.8253 | Val Loss: 4.9974e-01 | R²: 0.8144
Epoch 081 | Train Loss: 4.5258e-01 | R²: 0.8258 | Val Loss: 5.0723e-01 | R²: 0.8117
Epoch 082 | Train Loss: 4.5511e-01 | R²: 0.8248 | Val Loss: 6.5825e-01 | R²: 0.7556
Epoch 083 | Train Loss: 4.6422e-01 | R²: 0.8213 | Val Loss: 4.9342e-01 | R²: 0.8168
Epoch 084 | Train Loss: 4.6216e-01 | R²: 0.8221 | Val Loss: 5.0976e-01 | R²: 0.8107
Epoch 085 | Train Loss: 4.3311e-01 | R²: 0.8333 | Val Loss: 5.1872e-01 | R²: 0.8074
Epoch 086 | Train Loss: 4.6998e-01 | R²: 0.8191 | Val Loss: 5.2598e-01 | R²: 0.8047
Epoch 087 | Train Loss: 4.3793e-01 | R²: 0.8314 | Val Loss: 5.1991e-01 | R²: 0.8069
Epoch 088 | Train Loss: 4.2367e-01 | R²: 0.8369 | Val Loss: 4.8069e-01 | R²: 0.8215
Epoch 089 | Train Loss: 4.1795e-01 | R²: 0.8391 | Val Loss: 4.8819e-01 | R²: 0.8187
Epoch 090 | Train Loss: 4.2679e-01 | R²: 0.8357 | Val Loss: 4.7456e-01 | R²: 0.8238
Epoch 091 | Train Loss: 4.1778e-01 | R²: 0.8392 | Val Loss: 4.8410e-01 | R²: 0.8202
Epoch 092 | Train Loss: 4.1121e-01 | R²: 0.8417 | Val Loss: 5.0668e-01 | R²: 0.8119
Epoch 093 | Train Loss: 4.2374e-01 | R²: 0.8369 | Val Loss: 4.8643e-01 | R²: 0.8194
Epoch 094 | Train Loss: 4.1302e-01 | R²: 0.8410 | Val Loss: 4.9695e-01 | R²: 0.8155
Epoch 095 | Train Loss: 4.0871e-01 | R²: 0.8427 | Val Loss: 4.7838e-01 | R²: 0.8224
Epoch 096 | Train Loss: 4.1052e-01 | R²: 0.8420 | Val Loss: 5.0812e-01 | R²: 0.8113
Epoch 097 | Train Loss: 4.2830e-01 | R²: 0.8351 | Val Loss: 4.5779e-01 | R²: 0.8300
Epoch 098 | Train Loss: 4.1251e-01 | R²: 0.8412 | Val Loss: 4.8182e-01 | R²: 0.8211
Epoch 099 | Train Loss: 4.0704e-01 | R²: 0.8433 | Val Loss: 5.0122e-01 | R²: 0.8139
Epoch 100 | Train Loss: 4.1476e-01 | R²: 0.8403 | Val Loss: 4.6582e-01 | R²: 0.8270
Epoch 101 | Train Loss: 4.0016e-01 | R²: 0.8460 | Val Loss: 4.9186e-01 | R²: 0.8174
Epoch 102 | Train Loss: 3.9885e-01 | R²: 0.8465 | Val Loss: 4.8344e-01 | R²: 0.8205
Epoch 103 | Train Loss: 3.9615e-01 | R²: 0.8475 | Val Loss: 4.8428e-01 | R²: 0.8202
Epoch 104 | Train Loss: 3.9493e-01 | R²: 0.8480 | Val Loss: 4.6761e-01 | R²: 0.8264
Epoch 105 | Train Loss: 3.9447e-01 | R²: 0.8481 | Val Loss: 4.7415e-01 | R²: 0.8239
Epoch 106 | Train Loss: 3.9497e-01 | R²: 0.8480 | Val Loss: 4.7149e-01 | R²: 0.8249
Epoch 107 | Train Loss: 3.8995e-01 | R²: 0.8499 | Val Loss: 4.7680e-01 | R²: 0.8230
Epoch 108 | Train Loss: 3.9269e-01 | R²: 0.8488 | Val Loss: 4.5069e-01 | R²: 0.8326
Epoch 109 | Train Loss: 3.8670e-01 | R²: 0.8511 | Val Loss: 4.6130e-01 | R²: 0.8287
Epoch 110 | Train Loss: 3.7496e-01 | R²: 0.8557 | Val Loss: 4.6177e-01 | R²: 0.8285
Epoch 111 | Train Loss: 3.7775e-01 | R²: 0.8546 | Val Loss: 4.7592e-01 | R²: 0.8233
Epoch 112 | Train Loss: 3.8855e-01 | R²: 0.8504 | Val Loss: 5.0825e-01 | R²: 0.8113
Epoch 113 | Train Loss: 3.7857e-01 | R²: 0.8543 | Val Loss: 4.8751e-01 | R²: 0.8190
Epoch 114 | Train Loss: 3.9306e-01 | R²: 0.8487 | Val Loss: 4.4509e-01 | R²: 0.8347
Epoch 115 | Train Loss: 3.6962e-01 | R²: 0.8577 | Val Loss: 4.7680e-01 | R²: 0.8230
Epoch 116 | Train Loss: 3.7831e-01 | R²: 0.8544 | Val Loss: 4.7133e-01 | R²: 0.8250
Epoch 117 | Train Loss: 3.7833e-01 | R²: 0.8544 | Val Loss: 4.6342e-01 | R²: 0.8279
Epoch 118 | Train Loss: 3.7425e-01 | R²: 0.8559 | Val Loss: 4.4945e-01 | R²: 0.8331
Epoch 119 | Train Loss: 3.6970e-01 | R²: 0.8577 | Val Loss: 4.7411e-01 | R²: 0.8240
Epoch 120 | Train Loss: 3.6586e-01 | R²: 0.8592 | Val Loss: 4.4982e-01 | R²: 0.8330
Epoch 121 | Train Loss: 3.6407e-01 | R²: 0.8598 | Val Loss: 4.5365e-01 | R²: 0.8315
